City,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temperature,Wind Speed
Kavieng,PG,2020-09-10 15:23:06,-2.57,150.8,6,70,82.96,8.57
Mareeba,AU,2020-09-10 15:23:39,-17.0,145.43,11,68,69.8,5.82
Barranca,PE,2020-09-10 15:23:40,-10.75,-77.77,17,69,65.16,10.92
Kalemie,CD,2020-09-10 15:23:40,-5.95,29.19,98,52,74.21,3.51
Swan River,CA,2020-09-10 15:23:40,52.11,-101.27,0,45,66.25,4.27
Whitehorse,CA,2020-09-10 15:19:34,60.72,-135.05,75,81,46.4,5.82
Kismayo,SO,2020-09-10 15:23:40,-0.36,42.55,0,80,77.79,14.76
Sayán,PE,2020-09-10 15:23:05,-11.14,-77.19,0,34,78.22,10.07
Manokwari,ID,2020-09-10 15:23:40,-0.87,134.08,0,77,78.98,5.32
Vestmannaeyjar,IS,2020-09-10 15:23:41,63.44,-20.27,90,100,48.2,13.87
Departamento de Maldonado,UY,2020-09-10 15:23:41,-34.67,-54.92,20,42,64.0,12.75
Nueva Imperial,CL,2020-09-10 15:22:39,-38.73,-72.95,75,71,53.6,10.29
Omsukchan,RU,2020-09-10 15:23:41,62.53,155.8,12,91,33.82,6.02
Troitsko-Pechorsk,RU,2020-09-10 15:23:41,62.71,56.2,18,96,47.77,7.81
Linxia Chengguanzhen,CN,2020-09-10 15:23:41,35.6,103.21,80,60,58.46,0.22
Port Lincoln,AU,2020-09-10 15:23:41,-34.73,135.87,100,74,61.75,4.25
Grand Gaube,MU,2020-09-10 15:23:42,-20.01,57.66,55,78,72.0,10.0
Upernavik,GL,2020-09-10 15:23:42,72.79,-56.15,100,95,34.65,10.94
Vardø,NO,2020-09-10 15:23:42,70.37,31.11,49,93,42.8,16.11
Gondanglegi,ID,2020-09-10 15:23:42,-7.75,112.01,0,81,74.03,10.07
Ébolowa,CM,2020-09-10 15:23:42,2.9,11.15,89,95,69.35,3.78
Naze,JP,2020-09-10 15:23:43,28.37,129.48,75,94,78.8,6.93
Udachny,RU,2020-09-10 15:23:43,66.42,112.4,90,87,42.8,4.47
Lagoa,PT,2020-09-10 15:23:43,39.05,-27.98,0,78,72.52,7.25
La Sarre,CA,2020-09-10 15:23:43,48.8,-79.2,34,59,56.37,7.63
Green River,US,2020-09-10 15:23:43,41.53,-109.47,90,86,33.8,6.93
Cambridge,CA,2020-09-10 15:21:12,43.36,-80.31,90,72,73.0,10.29
Roebourne,AU,2020-09-10 15:23:44,-20.78,117.13,0,33,81.55,20.09
Kultuk,RU,2020-09-10 15:23:44,51.72,103.7,100,82,45.88,4.79
Igarka,RU,2020-09-10 15:23:44,67.47,86.58,100,84,46.56,11.97
Coyhaique,CL,2020-09-10 15:23:44,-45.58,-72.07,90,75,46.4,9.17
Santa Lucía,ES,2020-09-10 15:23:44,27.91,-15.54,20,69,75.2,27.51
Aquiraz,BR,2020-09-10 15:23:44,-3.9,-38.39,20,62,84.2,14.99
Bayir,TR,2020-09-10 15:23:45,37.27,28.22,0,61,78.8,4.7
Alta Floresta,BR,2020-09-10 15:23:45,-9.88,-56.09,1,20,102.2,6.93
Neiafu,TO,2020-09-10 15:23:45,-18.65,-173.98,75,94,77.0,9.17
Sanming,CN,2020-09-10 15:23:45,26.25,117.62,82,85,75.51,1.3
Olinda,BR,2020-09-10 15:20:29,-8.01,-34.86,75,69,82.4,13.87
Beloha,MG,2020-09-10 15:23:45,-25.17,45.05,100,58,76.95,4.92
Qaqortoq,GL,2020-09-10 15:22:03,60.72,-46.03,20,34,48.2,13.87
Taltal,CL,2020-09-10 15:23:46,-25.4,-70.48,22,64,61.41,4.05
Hohhot,CN,2020-09-10 15:23:46,40.81,111.65,0,76,48.2,4.47
Poum,NC,2020-09-10 15:21:12,-20.23,164.02,0,74,70.72,16.87
Kushima,JP,2020-09-10 15:23:46,31.46,131.23,75,88,75.2,1.12
Albert Lea,US,2020-09-10 15:23:01,43.65,-93.37,75,76,52.0,4.32
Serenje,ZM,2020-09-10 15:23:46,-13.23,30.24,0,38,58.77,5.21
Koster,ZA,2020-09-10 15:23:46,-25.86,26.9,0,25,63.18,6.96
Vostok,RU,2020-09-10 15:23:47,46.49,135.88,100,99,51.37,3.13
Iquique,CL,2020-09-10 15:23:47,-20.22,-70.14,40,63,62.6,10.29
Raudeberg,NO,2020-09-10 15:23:47,61.99,5.14,100,74,50.0,23.15
Ponta Delgada,PT,2020-09-10 15:23:47,37.73,-25.67,40,83,71.6,4.7
Darhan,MN,2020-09-10 15:23:47,49.49,105.92,100,89,59.36,11.43
Lityn,UA,2020-09-10 15:23:48,49.33,28.08,15,91,61.07,8.32
Kumul,CN,2020-09-10 15:23:48,42.8,93.45,41,28,68.7,8.46
Zabul Province,AF,2020-09-10 15:23:48,32.25,67.25,0,22,64.47,11.48
Toma,BF,2020-09-10 15:23:48,12.77,-2.88,23,75,79.2,5.53
Picuí,BR,2020-09-10 15:23:49,-6.51,-36.35,61,44,83.64,21.09
Jiangyou,CN,2020-09-10 15:23:49,31.77,104.72,5,75,72.01,2.57
Algodones,MX,2020-09-10 15:23:49,20.39,-105.48,40,66,89.01,8.05
Kahului,US,2020-09-10 15:23:49,20.89,-156.47,40,51,86.0,16.11
Baffa,PK,2020-09-10 15:23:49,34.44,73.22,0,52,69.44,4.59
Miguel Pereira,BR,2020-09-10 15:23:50,-22.45,-43.47,22,46,93.2,5.82
Tupik,RU,2020-09-10 15:23:50,54.43,119.93,73,91,51.28,3.69
Zheleznodorozhnyy,RU,2020-09-10 15:23:50,55.75,38.0,40,93,55.4,6.71
Lensk,RU,2020-09-10 15:23:50,60.73,114.93,61,86,42.3,1.83
São João da Barra,BR,2020-09-10 15:23:50,-21.64,-41.05,91,61,80.6,20.8
Zhuhai,CN,2020-09-10 15:23:51,22.28,113.57,20,83,84.2,8.05
Llangefni,GB,2020-09-10 15:23:51,53.26,-4.31,100,71,57.99,17.22
Prince Rupert,CA,2020-09-10 15:23:51,54.32,-130.32,1,87,60.8,5.82
Esmeraldas,BR,2020-09-10 15:23:51,-19.76,-44.31,21,15,87.8,4.27
São Gabriel da Cachoeira,BR,2020-09-10 15:23:51,-0.13,-67.09,75,59,91.4,5.82
Wattegama,LK,2020-09-10 15:23:52,6.8,81.48,20,100,78.8,9.17
La Rioja,ES,2020-09-10 15:23:52,42.25,-2.5,0,40,73.4,2.24
Sovetskiy,RU,2020-09-10 15:23:52,61.36,63.58,55,77,53.73,8.72
Zhigansk,RU,2020-09-10 15:23:52,66.77,123.37,100,71,46.58,7.23
Esim,GH,2020-09-10 15:23:53,4.87,-2.24,99,89,75.92,7.25
Pombas,CV,2020-09-10 15:23:53,17.15,-25.02,40,74,84.2,16.11
Veinticinco de Mayo,AR,2020-09-10 15:23:53,-35.43,-60.17,0,52,73.99,11.99
Asilah,MA,2020-09-10 15:23:53,35.47,-6.03,4,47,77.0,12.75
Gornopravdinsk,RU,2020-09-10 15:23:53,60.05,69.9,100,71,53.1,7.0
Acajutla,SV,2020-09-10 15:20:57,13.59,-89.83,20,58,87.8,2.24
The Valley,AI,2020-09-10 15:23:53,18.22,-63.06,20,62,89.6,12.75
Plastun,RU,2020-09-10 15:23:54,44.76,136.29,100,82,57.54,6.78
Marrakesh,MA,2020-09-10 15:21:08,31.63,-8.01,0,24,91.4,6.93
Broken Hill,AU,2020-09-10 15:23:54,-31.95,141.43,90,58,59.0,16.11
Leningradskiy,RU,2020-09-10 15:23:54,69.38,178.42,100,84,42.4,1.74
Narsaq,GL,2020-09-10 15:23:54,60.92,-46.05,20,34,48.2,13.87
Quatre Cocos,MU,2020-09-10 15:19:04,-20.21,57.76,75,83,72.0,17.22
Paamiut,GL,2020-09-10 15:23:27,61.99,-49.67,0,74,40.17,25.12
Nyurba,RU,2020-09-10 15:23:55,63.28,118.33,31,97,39.81,2.44
Yafran,LY,2020-09-10 15:23:55,32.06,12.53,0,62,74.98,5.88
Shīeli,KZ,2020-09-10 15:23:55,44.17,66.75,46,26,67.64,10.65
Tokmak,UA,2020-09-10 15:23:55,47.25,35.71,0,55,66.76,7.81
Araouane,ML,2020-09-10 15:21:05,18.9,-3.53,0,13,105.42,7.65
Acarí,PE,2020-09-10 15:23:05,-15.43,-74.62,0,39,74.52,10.04
Mogadishu,SO,2020-09-10 15:22:52,2.04,45.34,7,83,77.67,17.43
Torbay,CA,2020-09-10 15:23:55,47.67,-52.73,75,55,64.0,12.75
Clyde River,CA,2020-09-10 15:23:56,70.47,-68.59,90,64,39.2,4.7
Sennar,SD,2020-09-10 15:23:56,13.57,33.57,100,70,80.02,8.79
Marquette,US,2020-09-10 15:23:56,46.53,-87.63,10,63,59.0,3.0
Paita,PE,2020-09-10 15:23:57,-5.09,-81.11,13,68,69.8,12.75
Mabamba,TZ,2020-09-10 15:23:57,-3.6,30.5,73,41,70.74,1.45
Flic en Flac,MU,2020-09-10 15:23:57,-20.27,57.36,75,83,72.0,17.22
Isangel,VU,2020-09-10 15:23:57,-19.55,169.27,12,83,68.95,13.73
Jászberény,HU,2020-09-10 15:23:57,47.5,19.92,30,64,70.0,2.24
College,US,2020-09-10 15:23:58,64.86,-147.8,75,70,44.6,9.17
Vila Franca do Campo,PT,2020-09-10 15:23:58,37.72,-25.43,40,83,71.6,4.7
Médéa,DZ,2020-09-10 15:23:58,36.26,2.75,40,69,75.2,6.93
Malé,MV,2020-09-10 15:23:58,4.17,73.51,75,88,80.6,11.41
Yavatmal,IN,2020-09-10 15:23:58,20.4,78.13,100,91,76.86,1.19
Tolbazy,RU,2020-09-10 15:23:59,54.02,55.88,40,93,51.8,8.95
Tateyama,JP,2020-09-10 15:23:59,34.98,139.87,83,86,81.0,1.01
Tarko-Sale,RU,2020-09-10 15:23:59,64.92,77.78,91,93,52.0,10.76
Le Vauclin,MQ,2020-09-10 15:23:59,14.55,-60.84,33,59,89.6,10.29
Phimai,TH,2020-09-10 15:23:59,15.22,102.49,100,83,78.4,1.99
Zilupe,LV,2020-09-10 15:24:00,56.39,28.12,0,76,49.55,10.27
Pangody,RU,2020-09-10 15:24:00,65.85,74.49,0,90,57.2,11.88
Ecoporanga,BR,2020-09-10 15:24:00,-18.37,-40.83,96,34,83.61,5.26
Delta,NG,2020-09-10 15:24:00,5.5,6.0,100,94,74.82,3.09
Cangzhou,CN,2020-09-10 15:24:01,38.32,116.87,92,76,65.41,8.05
Zhanakorgan,KZ,2020-09-10 15:24:01,43.91,67.25,96,24,69.24,8.97
Buala,SB,2020-09-10 15:24:01,-8.14,159.59,40,80,78.1,2.24
Ucluelet,CA,2020-09-10 15:24:01,48.93,-125.55,20,44,75.99,5.82
Bethel,US,2020-09-10 15:24:01,41.37,-73.41,75,74,80.6,5.82
Oktyabr'skiy,RU,2020-09-10 15:24:02,54.48,53.47,11,76,51.13,4.43
Kamina,CD,2020-09-10 15:24:02,-8.74,24.99,1,20,74.3,3.44
Potamiá,GR,2020-09-10 15:24:02,40.72,24.73,0,73,77.0,6.93
Mehamn,NO,2020-09-10 15:24:02,71.04,27.85,40,81,48.2,2.24
Buarcos,PT,2020-09-10 15:24:02,40.17,-8.88,23,72,71.01,4.7
Sorong,ID,2020-09-10 15:24:02,-0.88,131.25,15,86,78.3,6.71
Nantucket,US,2020-09-10 15:19:05,41.28,-70.1,90,94,73.4,5.82
Ōhara,JP,2020-09-10 15:24:03,35.25,140.38,40,94,80.6,3.36
Pitimbu,BR,2020-09-10 15:24:03,-7.47,-34.81,20,65,80.6,18.34
Jining,CN,2020-09-10 15:24:04,35.41,116.58,0,93,63.79,4.0
Hualmay,PE,2020-09-10 15:22:56,-11.1,-77.61,23,68,65.66,10.78
Bilibino,RU,2020-09-10 15:24:04,68.05,166.44,100,85,39.33,0.94
Moerai,PF,2020-09-10 15:24:04,-22.43,-151.33,10,67,68.14,14.41
Aswān,EG,2020-09-10 15:21:45,24.09,32.91,0,17,98.6,9.17
Palmer,US,2020-09-10 15:24:04,42.16,-72.33,75,74,82.99,9.17
Zambrów,PL,2020-09-10 15:24:05,52.99,22.24,73,70,55.99,5.53
Kapoeta,SS,2020-09-10 15:24:05,4.77,33.59,1,46,80.15,3.8
Touros,BR,2020-09-10 15:24:05,-5.2,-35.46,40,74,80.6,14.99
Sokoto,NG,2020-09-10 15:22:51,13.06,5.24,17,64,84.29,12.24
Oddur,SO,2020-09-10 15:24:05,4.12,43.89,0,54,79.9,14.58
Zemio,CF,2020-09-10 15:24:06,5.03,25.14,100,97,68.77,3.91
Half Moon Bay,US,2020-09-10 15:24:06,37.46,-122.43,90,77,66.99,4.7
Birjand,IR,2020-09-10 15:24:06,32.87,59.22,0,18,68.0,11.41
Gravdal,NO,2020-09-10 15:24:06,68.12,13.5,75,81,46.4,16.11
Itoman,JP,2020-09-10 15:24:06,26.12,127.67,20,88,80.6,9.17
Odesskoye,RU,2020-09-10 15:24:07,54.21,72.97,0,54,51.73,7.4
San Martín,AR,2020-09-10 15:24:07,-33.08,-68.47,0,26,78.8,5.82
Banepā,NP,2020-09-10 15:24:07,27.63,85.52,75,94,71.6,3.36
Dhidhdhoo,MV,2020-09-10 15:24:07,6.88,73.1,100,79,81.81,16.4
Toora-Khem,RU,2020-09-10 15:24:07,52.47,96.11,72,89,35.31,4.07
Bosaso,SO,2020-09-10 15:24:08,11.28,49.18,0,50,91.65,1.68
Kunya,NG,2020-09-10 15:24:08,12.22,8.53,40,94,68.0,4.7
Yangambi,CD,2020-09-10 15:24:08,0.81,24.43,19,93,72.61,0.11
Hanna,CA,2020-09-10 15:24:08,51.63,-111.9,0,35,75.99,10.0
Velyka Bahachka,UA,2020-09-10 15:24:09,49.79,33.72,0,58,66.29,5.61
San Marcos,US,2020-09-10 15:23:07,33.14,-117.17,1,60,91.0,6.93
Penzance,GB,2020-09-10 15:24:09,50.12,-5.54,0,76,57.99,6.93
Bull Savanna,JM,2020-09-10 15:24:09,17.89,-77.59,4,72,83.86,9.46
Sauce,UY,2020-09-10 15:24:09,-34.65,-56.06,20,23,68.0,8.05
Verkhnyaya Inta,RU,2020-09-10 15:24:10,65.98,60.31,97,83,52.34,14.09
Katangli,RU,2020-09-10 15:24:10,51.71,143.23,0,93,43.25,4.05
Nālūt,LY,2020-09-10 15:24:10,30.33,10.85,1,24,87.69,13.44
Gazojak,TM,2020-09-10 15:24:11,41.19,61.4,0,22,71.28,8.21
Namatanai,PG,2020-09-10 15:24:11,-3.67,152.43,98,82,78.75,3.71
Praia,CV,2020-09-10 15:24:11,14.92,-23.51,40,78,82.4,13.87
Hukuntsi,BW,2020-09-10 15:24:11,-24.0,21.75,0,27,64.38,4.68
Vao,NC,2020-09-10 15:24:12,-22.67,167.48,5,70,67.57,13.44
Balkhash,KZ,2020-09-10 15:24:12,46.84,74.98,0,43,57.22,19.95
Buenos Aires,AR,2020-09-10 15:20:03,-34.61,-58.38,0,72,66.0,9.17
Kinablangan,PH,2020-09-10 15:24:12,7.69,126.55,87,80,79.45,4.99
Mahibadhoo,MV,2020-09-10 15:24:12,3.78,72.97,99,79,81.7,14.23
Mabaruma,GY,2020-09-10 15:24:13,8.2,-59.78,28,58,89.92,5.68
Ayan,RU,2020-09-10 15:24:13,56.45,138.17,0,65,49.95,4.45
Alofi,NU,2020-09-10 15:24:13,-19.06,-169.92,100,94,75.2,5.82
Brae,GB,2020-09-10 15:24:13,60.4,-1.35,40,81,53.6,19.46
Sørland,NO,2020-09-10 15:24:14,67.67,12.69,75,81,48.2,24.16
Fruitvale,US,2020-09-10 15:24:14,39.08,-108.5,90,76,52.0,9.17
Smoky Lake,CA,2020-09-10 15:24:14,54.12,-112.47,0,53,70.29,10.2
Sandpoint,US,2020-09-10 15:22:04,48.28,-116.55,1,28,73.99,10.29
Bell Ville,AR,2020-09-10 15:24:14,-32.63,-62.69,0,33,82.99,20.0
Gijón,ES,2020-09-10 15:20:55,43.54,-5.66,0,76,69.01,5.01
Menongue,AO,2020-09-10 15:24:15,-14.66,17.69,0,26,64.06,4.97
Baft,IR,2020-09-10 15:24:15,29.23,56.61,12,28,69.66,1.92
Cervo,ES,2020-09-10 15:24:15,43.67,-7.41,79,1,66.99,6.69
Sindor,RU,2020-09-10 15:24:15,62.86,51.89,100,82,49.78,8.79
Yulara,AU,2020-09-10 15:24:15,-25.24,130.99,0,31,60.8,3.36
Ilek,RU,2020-09-10 15:24:16,51.53,53.38,0,78,55.69,1.7
Lumphat,KH,2020-09-10 15:24:16,13.49,106.98,100,97,73.53,2.53
Nhulunbuy,AU,2020-09-10 15:24:16,-12.23,136.77,0,88,69.8,6.93
Kisangani,CD,2020-09-10 15:24:17,0.52,25.2,83,88,73.78,0.89
Kommunisticheskiy,RU,2020-09-10 15:24:17,61.68,64.48,99,75,54.48,9.46
Ahipara,NZ,2020-09-10 15:23:04,-35.17,173.17,88,72,52.32,10.51
Krasnosel'kup,RU,2020-09-10 15:24:17,65.7,82.47,100,92,53.51,11.43
Kedrovyy,RU,2020-09-10 15:24:17,56.17,91.82,0,100,35.6,2.33
Lappeenranta,FI,2020-09-10 15:24:18,61.06,28.19,90,87,51.01,13.87
Magdagachi,RU,2020-09-10 15:24:18,53.45,125.8,82,75,50.67,3.11
Alpena,US,2020-09-10 15:24:18,45.06,-83.43,75,67,57.99,4.7
Yumen,CN,2020-09-10 15:24:18,40.28,97.2,0,40,61.93,7.74
Gualaquiza,EC,2020-09-10 15:24:18,-3.4,-78.55,57,41,81.45,2.73
Oodweyne,SO,2020-09-10 15:24:18,9.41,45.06,39,32,82.67,14.97
Lüderitz,NA,2020-09-10 15:24:19,-26.65,15.16,0,55,67.62,7.67
Dawei,MM,2020-09-10 15:24:19,14.08,98.2,100,87,77.83,2.64
Sept-Îles,CA,2020-09-10 15:22:02,50.2,-66.38,90,87,48.99,8.05
Puerto Madryn,AR,2020-09-10 15:24:19,-42.77,-65.04,40,21,69.8,38.03
Dingzhou,CN,2020-09-10 15:24:20,38.51,115.0,26,72,68.0,4.47
‘Ewa Beach,US,2020-09-10 15:24:20,21.32,-158.01,1,54,84.2,8.05
Homer,US,2020-09-10 15:22:13,59.64,-151.55,1,81,51.8,6.93
Ilo,PE,2020-09-10 15:24:20,-17.64,-71.34,75,63,64.4,8.05
Saint-Louis,SN,2020-09-10 15:24:21,16.33,-15.0,100,59,93.2,12.5
Kalengwa,ZM,2020-09-10 15:24:21,-13.47,25.0,14,27,64.8,5.28
Takoradze,GH,2020-09-10 15:20:11,4.88,-1.76,53,88,76.08,8.14
Moses Lake,US,2020-09-10 15:24:21,47.13,-119.28,1,21,82.4,4.7
Pisco,PE,2020-09-10 15:24:21,-13.7,-76.22,43,60,68.0,11.41
Seymchan,RU,2020-09-10 15:24:21,62.88,152.43,28,86,38.35,7.18
Wahiawā,US,2020-09-10 15:24:22,21.5,-158.02,20,61,84.2,9.17
Santa Isabel Rio Negro,BR,2020-09-10 15:24:22,-0.41,-65.02,46,47,92.25,4.29
Ensenada,MX,2020-09-10 15:24:22,31.87,-116.62,0,78,75.99,5.99
Mitsamiouli,KM,2020-09-10 15:24:22,-11.38,43.28,20,78,75.2,4.7
Laiya,PH,2020-09-10 15:24:22,13.68,121.39,100,92,78.01,3.56
Umluj,SA,2020-09-10 15:24:23,25.02,37.27,0,80,85.28,6.46
Carballo,ES,2020-09-10 15:24:23,43.21,-8.69,100,69,73.4,3.36
Pilar,BR,2020-09-10 15:24:23,-9.6,-35.96,75,74,78.8,14.99
Skibbereen,IE,2020-09-10 15:24:23,51.55,-9.27,75,81,53.6,6.93
Malpe,IN,2020-09-10 15:24:23,13.35,74.72,90,94,75.2,6.93
Tura,IN,2020-09-10 15:24:24,25.52,90.22,100,96,75.11,6.15
Destin,US,2020-09-10 15:20:17,30.39,-86.5,1,59,89.6,2.44
Schrobenhausen,DE,2020-09-10 15:24:24,48.55,11.27,40,82,66.0,2.24
Aksarka,RU,2020-09-10 15:24:24,66.56,67.8,93,81,57.52,20.51
Alcañiz,ES,2020-09-10 15:24:24,41.05,-0.13,0,74,72.0,1.01
Pelym,RU,2020-09-10 15:24:25,61.01,62.0,0,90,50.65,7.78
Itarema,BR,2020-09-10 15:24:25,-2.92,-39.92,75,62,82.58,20.02
Añisoc,GQ,2020-09-10 15:24:25,1.87,10.77,100,91,70.3,3.38
Severnyy,RU,2020-09-10 15:24:25,50.68,36.55,0,52,68.0,6.71
Wenling,CN,2020-09-10 15:24:25,28.37,121.36,100,87,78.01,2.98
Ngunguru,NZ,2020-09-10 15:24:26,-35.62,174.5,43,3,48.0,5.01
Coquimbo,CL,2020-09-10 15:24:26,-29.95,-71.34,0,63,64.4,17.22
Burnie,AU,2020-09-10 15:24:27,-41.07,145.92,100,82,51.01,4.0
Bira,RU,2020-09-10 15:24:27,49.0,132.47,0,67,46.69,4.21
Bambanglipuro,ID,2020-09-10 15:24:27,-7.95,110.28,62,86,75.25,4.54
Abu Samrah,SY,2020-09-10 15:24:27,35.3,37.18,78,16,89.73,11.43
Pokhvistnevo,RU,2020-09-10 15:24:27,53.65,52.13,25,71,53.44,4.61
Yerbogachën,RU,2020-09-10 15:24:27,61.28,108.01,79,79,44.65,3.62
Aripuanã,BR,2020-09-10 15:24:28,-9.17,-60.63,87,18,102.38,3.53
Hamilton,US,2020-09-10 15:20:22,39.18,-84.53,40,55,89.01,4.7
Teya,RU,2020-09-10 15:24:28,60.38,92.63,0,88,40.5,1.16
Dzhebariki-Khaya,RU,2020-09-10 15:24:28,62.22,135.8,0,81,41.61,0.85
Carbonia,IT,2020-09-10 15:24:29,39.17,8.52,40,83,71.01,1.12
Ordu,TR,2020-09-10 15:24:29,40.91,37.68,75,94,73.4,4.7
Çorum Province,TR,2020-09-10 15:22:29,40.5,34.75,0,90,56.98,4.41
Warrnambool,AU,2020-09-10 15:24:29,-38.38,142.48,48,65,55.0,14.0
Yeniseysk,RU,2020-09-10 15:24:29,58.45,92.17,63,95,40.91,1.74
Soledade,BR,2020-09-10 15:24:30,-28.82,-52.51,0,64,75.2,11.41
Evensk,RU,2020-09-10 15:24:30,61.95,159.23,32,64,43.07,18.81
Novosheshminsk,RU,2020-09-10 15:24:30,55.07,51.23,98,77,53.74,9.73
Adrar,MR,2020-09-10 15:24:30,20.5,-10.07,100,16,101.73,14.81
Rawson,AR,2020-09-10 15:24:31,-43.3,-65.1,40,21,69.8,38.03
Marabu,MY,2020-09-10 15:24:31,4.41,114.01,40,100,75.2,2.24
Waingapu,ID,2020-09-10 15:24:31,-9.66,120.26,87,85,74.16,8.88
Winnemucca,US,2020-09-10 15:24:31,40.97,-117.74,1,6,77.0,5.82
Beringovskiy,RU,2020-09-10 15:24:31,63.05,179.32,100,94,48.36,14.38
Saquena,PE,2020-09-10 15:24:32,-4.67,-73.52,87,43,94.32,2.82
Khandyga,RU,2020-09-10 15:24:32,62.67,135.6,0,83,41.34,0.31
Gevrai,IN,2020-09-10 15:24:32,19.27,75.75,100,87,77.61,5.57
Toamasina,MG,2020-09-10 15:24:32,-18.17,49.38,40,94,68.0,3.36
Santa Marta,CO,2020-09-10 15:24:32,11.24,-74.2,20,55,91.4,5.82
Lichuan,CN,2020-09-10 15:24:32,30.3,108.85,95,96,61.36,2.39
Deputatsky,RU,2020-09-10 15:24:33,69.3,139.9,0,89,34.02,1.05
Bereda,ES,2020-09-10 15:24:33,43.27,-7.54,0,85,66.0,7.0
Malinovskiy,RU,2020-09-10 15:24:33,61.2,62.84,0,82,52.29,8.99
Krasnokamensk,RU,2020-09-10 15:24:33,50.1,118.04,100,73,51.75,4.34
Mokhsogollokh,RU,2020-09-10 15:24:33,61.47,128.92,99,75,46.22,3.89
Griffith,US,2020-09-10 15:20:08,41.53,-87.42,75,72,66.0,10.29
Gabú,GW,2020-09-10 15:24:34,12.28,-14.22,100,88,80.42,3.42
Madawaska,US,2020-09-10 15:24:34,47.36,-68.33,90,93,53.01,5.82
Makakilo City,US,2020-09-10 15:24:34,21.35,-158.09,1,54,84.2,8.05
